Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
121,0.0,0.0,1.63,1.59,valve_connector
122,0.0,0.0,1.62,1.59,valve_connector
123,0.0,0.0,1.63,1.59,valve_connector
124,0.0,0.0,1.62,1.59,valve_connector
125,0.0,0.0,1.63,1.59,valve_connector
126,0.0,0.0,1.63,1.59,valve_connector
127,0.0,0.0,1.63,1.59,valve_connector
128,0.0,0.0,1.63,1.59,valve_connector
129,0.0,0.0,1.63,1.59,valve_connector
130,0.0,0.0,1.63,1.59,valve_connector
131,0.0,0.0,1.63,1.59,valve_connector
132,0.0,0.0,1.63,1.59,valve_connector
133,0.0,0.0,1.63,1.59,valve_connector
134,0.0,0.0,1.63,1.59,valve_connector
135,0.0,0.0,1.62,1.59,valve_connector
136,0.0,0.0,1.63,1.59,valve_connector
137,0.0,0.0,1.62,1.59,valve_connector
138,0.0,0.0,1.63,1.59,valve_connector
139,0.0,0.0,1.63,1.59,valve_connector
140,0.0,0.0,1.63,1.59,valve_connector
141,0.0,0.0,1.63,1.59,valve_connector
142,0.0,0.0,1.63,1.59,valve_connector
143,0.0,0.0,1.63,1.59,valve_connector
144,0.0,0.0,1.63,1.59,valve_connector
145,0.0,0.0,1.63,1.59,valve_connector
146,0.0,0.0,1.63,1.59,valve_connector
147,0.0,0.0,1.63,1.59,valve_connector
148,0.0,0.0,1.62,1.59,valve_connector
149,0.0,0.0,1.63,1.59,valve_connector
0,0.0,0.01,1.8,1.78,valve_connector
1,0.0,0.0,1.8,1.78,valve_connector
2,0.0,0.0,1.81,1.78,valve_connector
3,0.0,0.0,1.81,1.78,valve_connector
4,0.0,0.0,1.7,1.69,valve_connector
5,0.0,0.0,1.59,1.57,valve_connector
6,0.0,0.0,1.59,1.58,valve_connector
7,0.0,0.0,1.6,1.58,valve_connector
8,0.0,0.0,1.6,1.58,valve_connector
9,0.0,0.0,1.6,1.57,valve_connector
10,0.0,0.0,1.6,1.57,valve_connector
11,0.0,0.0,1.61,1.56,valve_connector
12,0.0,0.0,1.61,1.57,valve_connector
13,0.0,0.0,1.61,1.58,valve_connector
14,0.0,0.0,1.61,1.58,valve_connector
15,0.0,0.0,1.61,1.58,valve_connector
16,0.0,0.0,1.61,1.58,valve_connector
17,0.0,0.0,1.61,1.58,valve_connector
18,0.0,0.0,1.61,1.58,valve_connector
19,0.0,0.0,1.61,1.58,valve_connector
20,0.0,0.0,1.61,1.58,valve_connector
21,0.0,0.0,1.61,1.59,valve_connector
22,0.0,0.0,1.61,1.58,valve_connector
23,0.0,0.0,1.61,1.58,valve_connector
24,0.0,0.0,1.62,1.58,valve_connector
25,0.0,0.0,1.62,1.58,valve_connector
26,0.0,0.0,1.61,1.58,valve_connector
27,0.0,0.0,1.62,1.58,valve_connector
28,0.0,0.0,1.62,1.59,valve_connector
29,0.0,0.0,1.62,1.58,valve_connector
30,0.0,0.0,1.61,1.58,valve_connector
31,0.0,0.0,1.62,1.58,valve_connector
32,0.0,0.0,1.62,1.58,valve_connector
33,0.0,0.0,1.62,1.58,valve_connector
34,0.0,0.0,1.61,1.59,valve_connector
35,0.0,0.0,1.62,1.58,valve_connector
36,0.0,0.0,1.62,1.58,valve_connector
37,0.0,0.0,1.62,1.58,valve_connector
38,0.0,0.0,1.62,1.59,valve_connector
39,0.0,0.0,1.62,1.58,valve_connector
40,0.0,0.0,1.62,1.59,valve_connector
41,0.0,0.0,1.62,1.58,valve_connector
42,0.0,0.0,1.62,1.59,valve_connector
43,0.0,0.0,1.62,1.59,valve_connector
44,0.0,0.0,1.62,1.59,valve_connector
45,0.0,0.0,1.62,1.59,valve_connector
46,0.0,0.0,1.62,1.58,valve_connector
47,0.0,0.0,1.62,1.59,valve_connector
48,0.0,0.0,1.62,1.58,valve_connector
49,0.0,0.0,1.62,1.58,valve_connector
50,0.0,0.0,1.62,1.58,valve_connector
51,0.0,0.0,1.62,1.59,valve_connector
52,0.0,0.0,1.62,1.59,valve_connector
53,0.0,0.0,1.62,1.59,valve_connector
54,0.0,0.0,1.62,1.59,valve_connector
55,0.0,0.0,1.62,1.59,valve_connector
56,0.0,0.0,1.62,1.58,valve_connector
57,0.0,0.0,1.62,1.59,valve_connector
58,0.0,0.0,1.62,1.59,valve_connector
59,0.0,0.0,1.62,1.58,valve_connector
60,0.0,0.0,1.62,1.59,valve_connector
61,0.0,0.0,1.62,1.59,valve_connector
62,0.0,0.0,1.62,1.59,valve_connector
63,0.0,0.0,1.62,1.59,valve_connector
64,0.0,0.0,1.62,1.59,valve_connector
65,0.0,0.0,1.62,1.59,valve_connector
66,0.0,0.0,1.62,1.59,valve_connector
67,0.0,0.0,1.62,1.59,valve_connector
68,0.0,0.0,1.62,1.58,valve_connector
69,0.0,0.0,1.62,1.59,valve_connector
70,0.0,0.0,1.62,1.59,valve_connector
71,0.0,0.0,1.63,1.59,valve_connector
72,0.0,0.0,1.62,1.59,valve_connector
73,0.0,0.0,1.62,1.59,valve_connector
74,0.0,0.0,1.62,1.59,valve_connector
75,0.0,0.0,1.62,1.59,valve_connector
76,0.0,0.0,1.62,1.59,valve_connector
77,0.0,0.0,1.63,1.59,valve_connector
78,0.0,0.0,1.62,1.59,valve_connector
79,0.0,0.0,1.62,1.59,valve_connector
80,0.0,0.0,1.62,1.59,valve_connector
81,0.0,0.0,1.62,1.59,valve_connector
82,0.0,0.0,1.62,1.59,valve_connector
83,0.0,0.0,1.62,1.59,valve_connector
84,0.0,0.0,1.63,1.59,valve_connector
85,0.0,0.0,1.63,1.58,valve_connector
86,0.0,0.0,1.62,1.59,valve_connector
87,0.0,0.0,1.63,1.59,valve_connector
88,0.0,0.0,1.63,1.59,valve_connector
89,0.0,0.0,1.63,1.59,valve_connector
90,0.0,0.0,1.63,1.59,valve_connector
91,0.0,0.0,1.62,1.59,valve_connector
92,0.0,0.0,1.62,1.59,valve_connector
93,0.0,0.0,1.63,1.58,valve_connector
94,0.0,0.0,1.63,1.59,valve_connector
95,0.0,0.0,1.63,1.59,valve_connector
96,0.0,0.0,1.63,1.59,valve_connector
97,0.0,0.0,1.63,1.58,valve_connector
98,0.0,0.0,1.62,1.59,valve_connector
99,0.0,0.0,1.62,1.59,valve_connector
100,0.0,0.0,1.62,1.59,valve_connector
101,0.0,0.0,1.63,1.59,valve_connector
102,0.0,0.0,1.62,1.59,valve_connector
103,0.0,0.0,1.65,1.59,valve_connector
104,0.0,0.0,1.63,1.59,valve_connector
105,0.0,0.0,1.62,1.59,valve_connector
106,0.0,0.0,1.63,1.59,valve_connector
107,0.0,0.0,1.63,1.59,valve_connector
108,0.0,0.0,1.62,1.59,valve_connector
109,0.0,0.0,1.63,1.59,valve_connector
110,0.0,0.0,1.63,1.59,valve_connector
111,0.0,0.0,1.62,1.59,valve_connector
112,0.0,0.0,1.62,1.59,valve_connector
113,0.0,0.0,1.62,1.59,valve_connector
114,0.0,0.0,1.63,1.59,valve_connector
115,0.0,0.0,1.63,1.59,valve_connector
116,0.0,0.0,1.63,1.59,valve_connector
117,0.0,0.0,1.62,1.59,valve_connector
118,0.0,0.0,1.63,1.59,valve_connector
119,0.0,0.0,1.63,1.59,valve_connector
120,0.0,0.0,1.62,1.59,valve_connector
121,0.0,0.0,1.63,1.58,valve_connector
122,0.0,0.0,1.63,1.59,valve_connector
123,0.0,0.0,1.63,1.59,valve_connector
124,0.0,0.0,1.61,1.59,valve_connector
125,0.0,0.0,1.62,1.59,valve_connector
126,0.0,0.0,1.63,1.59,valve_connector
127,0.0,0.0,1.63,1.59,valve_connector
128,0.0,0.0,1.62,1.59,valve_connector
129,0.0,0.0,1.63,1.58,valve_connector
130,0.0,0.0,1.62,1.59,valve_connector
131,0.0,0.0,1.62,1.59,valve_connector
132,0.0,0.0,1.63,1.59,valve_connector
133,0.0,0.0,1.63,1.59,valve_connector
134,0.0,0.0,1.63,1.59,valve_connector
135,0.0,0.0,1.63,1.59,valve_connector
136,0.0,0.0,1.63,1.58,valve_connector
137,0.0,0.0,1.63,1.59,valve_connector
138,0.0,0.0,1.63,1.59,valve_connector
139,0.0,0.0,1.62,1.59,valve_connector
140,0.0,0.0,1.63,1.59,valve_connector
141,0.0,0.0,1.63,1.59,valve_connector
142,0.0,0.0,1.63,1.59,valve_connector
143,0.0,0.0,1.63,1.57,valve_connector
144,0.0,0.0,1.62,1.59,valve_connector
145,0.0,0.0,1.63,1.59,valve_connector
146,0.0,0.0,1.63,1.6,valve_connector
147,0.0,0.0,1.63,1.59,valve_connector
148,0.0,0.0,1.63,1.59,valve_connector
149,0.0,0.0,1.63,1.59,valve_connector
0,0.0,0.0,1.81,1.77,valve_connector
1,0.0,0.0,1.81,1.77,valve_connector
2,0.0,0.0,1.8,1.78,valve_connector
3,0.0,0.0,1.81,1.78,valve_connector
4,0.0,0.0,1.69,1.68,valve_connector
5,0.0,0.0,1.58,1.57,valve_connector
6,0.0,0.0,1.59,1.58,valve_connector
7,0.0,0.0,1.6,1.57,valve_connector
8,0.0,0.0,1.6,1.58,valve_connector
9,0.0,0.0,1.6,1.58,valve_connector
10,0.0,0.0,1.61,1.57,valve_connector
11,0.0,0.0,1.61,1.57,valve_connector
12,0.0,0.0,1.61,1.57,valve_connector
13,0.0,0.0,1.61,1.57,valve_connector
14,0.0,0.0,1.61,1.58,valve_connector
15,0.0,0.0,1.61,1.58,valve_connector
16,0.0,0.0,1.62,1.58,valve_connector
17,0.0,0.0,1.61,1.58,valve_connector
18,0.0,0.0,1.61,1.58,valve_connector
19,0.0,0.0,1.62,1.58,valve_connector
20,0.0,0.0,1.61,1.58,valve_connector
21,0.0,0.0,1.62,1.58,valve_connector
22,0.0,0.0,1.62,1.58,valve_connector
23,0.0,0.0,1.62,1.58,valve_connector
24,0.0,0.0,1.62,1.58,valve_connector
25,0.0,0.0,1.62,1.58,valve_connector
26,0.0,0.0,1.62,1.58,valve_connector
27,0.0,0.0,1.62,1.58,valve_connector
28,0.0,0.0,1.62,1.59,valve_connector
29,0.0,0.0,1.62,1.58,valve_connector
30,0.0,0.0,1.62,1.58,valve_connector
31,0.0,0.0,1.62,1.58,valve_connector
32,0.0,0.0,1.62,1.58,valve_connector
33,0.0,0.0,1.62,1.58,valve_connector
34,0.0,0.0,1.62,1.58,valve_connector
35,0.0,0.0,1.62,1.59,valve_connector
36,0.0,0.0,1.62,1.59,valve_connector
37,0.0,0.0,1.62,1.58,valve_connector
38,0.0,0.0,1.62,1.58,valve_connector
39,0.0,0.0,1.62,1.58,valve_connector
40,0.0,0.0,1.62,1.59,valve_connector
41,0.0,0.0,1.62,1.59,valve_connector
42,0.0,0.0,1.62,1.58,valve_connector
43,0.0,0.0,1.62,1.58,valve_connector
44,0.0,0.0,1.62,1.59,valve_connector
45,0.0,0.0,1.62,1.58,valve_connector
46,0.0,0.0,1.62,1.59,valve_connector
47,0.0,0.0,1.62,1.58,valve_connector
48,0.0,0.0,1.62,1.59,valve_connector
49,0.0,0.0,1.62,1.59,valve_connector
50,0.0,0.0,1.62,1.59,valve_connector
51,0.0,0.0,1.62,1.58,valve_connector
52,0.0,0.0,1.62,1.59,valve_connector
53,0.0,0.0,1.63,1.59,valve_connector
54,0.0,0.0,1.62,1.59,valve_connector
55,0.0,0.0,1.62,1.59,valve_connector
56,0.0,0.0,1.62,1.59,valve_connector
57,0.0,0.0,1.62,1.59,valve_connector
58,0.0,0.0,1.63,1.58,valve_connector
59,0.0,0.0,1.62,1.59,valve_connector
60,0.0,0.0,1.63,1.58,valve_connector
61,0.0,0.0,1.62,1.59,valve_connector
62,0.0,0.0,1.62,1.59,valve_connector
63,0.0,0.0,1.63,1.59,valve_connector
64,0.0,0.0,1.63,1.59,valve_connector
65,0.0,0.0,1.62,1.59,valve_connector
66,0.0,0.0,1.63,1.59,valve_connector
67,0.0,0.0,1.62,1.59,valve_connector
68,0.0,0.0,1.63,1.59,valve_connector
69,0.0,0.0,1.63,1.59,valve_connector
70,0.0,0.0,1.62,1.59,valve_connector
71,0.0,0.0,1.63,1.59,valve_connector
72,0.0,0.0,1.63,1.59,valve_connector
73,0.0,0.0,1.63,1.59,valve_connector
74,0.0,0.0,1.62,1.59,valve_connector
75,0.0,0.0,1.63,1.59,valve_connector
76,0.0,0.0,1.63,1.59,valve_connector
77,0.0,0.0,1.63,1.58,valve_connector
78,0.0,0.0,1.63,1.59,valve_connector
79,0.0,0.0,1.63,1.59,valve_connector
80,0.0,0.0,1.62,1.59,valve_connector
81,0.0,0.0,1.63,1.59,valve_connector
82,0.0,0.0,1.63,1.59,valve_connector
83,0.0,0.0,1.63,1.59,valve_connector
84,0.0,0.0,1.63,1.59,valve_connector
85,0.0,0.0,1.62,1.59,valve_connector
86,0.0,0.0,1.63,1.59,valve_connector
87,0.0,0.0,1.63,1.59,valve_connector
88,0.0,0.0,1.63,1.59,valve_connector
89,0.0,0.0,1.63,1.59,valve_connector
90,0.0,0.0,1.63,1.59,valve_connector
91,0.0,0.0,1.63,1.59,valve_connector
92,0.0,0.0,1.63,1.59,valve_connector
93,0.0,0.0,1.63,1.59,valve_connector
94,0.0,0.0,1.63,1.59,valve_connector
95,0.0,0.0,1.63,1.59,valve_connector
96,0.0,0.0,1.63,1.59,valve_connector
97,0.0,0.0,1.63,1.59,valve_connector
98,0.0,0.0,1.62,1.59,valve_connector
99,0.0,0.0,1.63,1.59,valve_connector
100,0.0,0.0,1.63,1.59,valve_connector
101,0.0,0.0,1.63,1.59,valve_connector
102,0.0,0.0,1.63,1.59,valve_connector
103,0.0,0.0,1.63,1.59,valve_connector
104,0.0,0.0,1.63,1.59,valve_connector
105,0.0,0.0,1.63,1.59,valve_connector
106,0.0,0.0,1.63,1.59,valve_connector
107,0.0,0.0,1.63,1.59,valve_connector
108,0.0,0.0,1.63,1.59,valve_connector
109,0.0,0.0,1.63,1.59,valve_connector
110,0.0,0.0,1.63,1.59,valve_connector
111,0.0,0.0,1.63,1.59,valve_connector
112,0.0,0.0,1.63,1.59,valve_connector
113,0.0,0.0,1.63,1.59,valve_connector
114,0.0,0.0,1.63,1.59,valve_connector
115,0.0,0.0,1.63,1.59,valve_connector
116,0.0,0.0,1.63,1.59,valve_connector
117,0.0,0.0,1.63,1.59,valve_connector
118,0.0,0.0,1.63,1.59,valve_connector
119,0.0,0.0,1.63,1.59,valve_connector
120,0.0,0.0,1.63,1.59,valve_connector
121,0.0,0.0,1.63,1.59,valve_connector
122,0.0,0.0,1.63,1.59,valve_connector
123,0.0,0.0,1.63,1.59,valve_connector
124,0.0,0.0,1.63,1.59,valve_connector
125,0.0,0.0,1.63,1.59,valve_connector
126,0.0,0.0,1.63,1.59,valve_connector
127,0.0,0.0,1.63,1.6,valve_connector
128,0.0,0.0,1.63,1.59,valve_connector
129,0.0,0.0,1.63,1.59,valve_connector
130,0.0,0.0,1.63,1.59,valve_connector
131,0.0,0.0,1.63,1.59,valve_connector
132,0.0,0.0,1.63,1.59,valve_connector
133,0.0,0.0,1.63,1.59,valve_connector
134,0.0,0.0,1.63,1.59,valve_connector
135,0.0,0.0,1.63,1.59,valve_connector
136,0.0,0.0,1.63,1.59,valve_connector
137,0.0,0.0,1.63,1.59,valve_connector
138,0.0,0.0,1.63,1.59,valve_connector
139,0.0,0.0,1.63,1.59,valve_connector
140,0.0,0.0,1.63,1.59,valve_connector
141,0.0,0.0,1.63,1.59,valve_connector
142,0.0,0.0,1.63,1.59,valve_connector
143,0.0,0.0,1.63,1.59,valve_connector
144,0.0,0.0,1.63,1.59,valve_connector
145,0.0,0.0,1.63,1.59,valve_connector
146,0.0,0.0,1.63,1.59,valve_connector
147,0.0,0.0,1.63,1.59,valve_connector
148,0.0,0.0,1.63,1.59,valve_connector
149,0.0,0.0,1.63,1.59,valve_connector
0,0.00,0.0,1.8,1.78,valve_connector
1,0.00,0.0,1.81,1.77,valve_connector
2,0.00,0.0,1.81,1.77,valve_connector
3,0.00,0.0,1.81,1.77,valve_connector
4,0.00,0.0,1.81,1.77,valve_connector
5,0.000.00,0.0,1.8,1.78,valve_connector
6,0.00,0.0,1.81,1.78,valve_connector
7,0.00,0.0,1.81,1.78,valve_connector
8,0.00,0.0,1.8,1.77,valve_connector
9,0.00,0.0,1.7,1.69,valve_connector
10,0.00,0.0,1.59,1.58,valve_connector
11,0.00,0.0,1.6,1.58,valve_connector
12,0.00,0.0,1.61,1.58,valve_connector
13,0.00,0.0,1.61,1.58,valve_connector
14,0.00,0.0,1.61,1.58,valve_connector
15,0.00,0.0,1.61,1.58,valve_connector
16,0.00,0.0,1.61,1.58,valve_connector
17,0.00,0.0,1.61,1.58,valve_connector
18,0.00,0.0,1.61,1.58,valve_connector
19,0.00,0.0,1.62,1.58,valve_connector
20,0.00,0.0,1.61,1.58,valve_connector
21,0.00,0.0,1.62,1.58,valve_connector
22,0.00,0.0,1.62,1.58,valve_connector
23,0.00,0.0,1.61,1.58,valve_connector
24,0.00,0.0,1.62,1.58,valve_connector
25,0.00,0.0,1.62,1.59,valve_connector
26,0.00,0.0,1.62,1.58,valve_connector
27,0.00,0.0,1.62,1.58,valve_connector
28,0.00,0.0,1.62,1.59,valve_connector
29,0.00,0.0,1.62,1.59,valve_connector
30,0.00,0.0,1.62,1.58,valve_connector
31,0.00,0.0,1.62,1.58,valve_connector
32,0.00,0.0,1.62,1.58,valve_connector
33,0.00,0.0,1.62,1.58,valve_connector
34,0.00,0.0,1.62,1.59,valve_connector
35,0.00,0.0,1.62,1.59,valve_connector
36,0.00,0.0,1.62,1.59,valve_connector
37,0.00,0.0,1.62,1.58,valve_connector
38,0.00,0.0,1.62,1.58,valve_connector
39,0.00,0.0,1.62,1.59,valve_connector
40,0.00,0.0,1.63,1.59,valve_connector
41,0.00,0.0,1.62,1.59,valve_connector
42,0.00,0.0,1.62,1.58,valve_connector
43,0.00,0.0,1.62,1.59,valve_connector
44,0.00,0.0,1.62,1.59,valve_connector
45,0.00,0.0,1.63,1.58,valve_connector
46,0.00,0.0,1.62,1.59,valve_connector
47,0.00,0.0,1.62,1.58,valve_connector
48,0.00,0.0,1.62,1.59,valve_connector
49,0.00,0.0,1.62,1.59,valve_connector
50,0.00,0.0,1.62,1.59,valve_connector
51,0.00,0.0,1.63,1.59,valve_connector
52,0.00,0.0,1.62,1.59,valve_connector
53,0.00,0.0,1.63,1.59,valve_connector
54,0.00,0.0,1.62,1.59,valve_connector
55,0.00,0.0,1.63,1.59,valve_connector
56,0.00,0.0,1.62,1.59,valve_connector
57,0.00,0.0,1.63,1.59,valve_connector
58,0.00,0.0,1.63,1.59,valve_connector
59,0.00,0.0,1.62,1.59,valve_connector
60,0.00,0.0,1.62,1.59,valve_connector
61,0.00,0.0,1.63,1.59,valve_connector
62,0.00,0.0,1.62,1.59,valve_connector
63,0.00,0.0,1.63,1.59,valve_connector
64,0.00,0.0,1.63,1.59,valve_connector
65,0.00,0.0,1.63,1.59,valve_connector
66,0.00,0.0,1.63,1.59,valve_connector
67,0.00,0.0,1.62,1.59,valve_connector
68,0.00,0.0,1.63,1.59,valve_connector
69,0.00,0.0,1.62,1.59,valve_connector
70,0.00,0.0,1.63,1.59,valve_connector
71,0.00,0.0,1.63,1.59,valve_connector
72,0.00,0.0,1.63,1.59,valve_connector
73,0.00,0.0,1.63,1.59,valve_connector
74,0.00,0.0,1.63,1.59,valve_connector
75,0.00,0.0,1.63,1.59,valve_connector
76,0.00,0.0,1.63,1.59,valve_connector
77,0.00,0.0,1.63,1.59,valve_connector
78,0.00,0.0,1.63,1.59,valve_connector
79,0.00,0.0,1.63,1.59,valve_connector
80,0.00,0.0,1.63,1.58,valve_connector
81,0.00,0.0,1.63,1.59,valve_connector
82,0.00,0.0,1.63,1.59,valve_connector
83,0.00,0.0,1.63,1.59,valve_connector
84,0.00,0.0,1.63,1.59,valve_connector
85,0.00,0.0,1.63,1.59,valve_connector
86,0.00,0.0,1.63,1.59,valve_connector
87,0.00,0.0,1.63,1.59,valve_connector
88,0.00,0.0,1.63,1.59,valve_connector
89,0.00,0.0,1.63,1.59,valve_connector
90,0.00,0.0,1.63,1.59,valve_connector
91,0.00,0.0,1.63,1.59,valve_connector
92,0.00,0.0,1.63,1.59,valve_connector
93,0.00,0.0,1.63,1.59,valve_connector
94,0.00,0.0,1.63,1.59,valve_connector
95,0.00,0.0,1.63,1.59,valve_connector
96,0.00,0.0,1.63,1.59,valve_connector
97,0.00,0.0,1.63,1.59,valve_connector
98,0.00,0.0,1.63,1.59,valve_connector
99,0.00,0.0,1.63,1.59,valve_connector
100,0.00,0.0,1.63,1.59,valve_connector
101,0.00,0.0,1.63,1.59,valve_connector
102,0.00,0.0,1.62,1.59,valve_connector
103,0.00,0.0,1.63,1.59,valve_connector
104,0.00,0.0,1.63,1.59,valve_connector
105,0.00,0.0,1.63,1.59,valve_connector
106,0.00,0.0,1.63,1.59,valve_connector
107,0.00,0.0,1.63,1.59,valve_connector
108,0.00,0.0,1.63,1.59,valve_connector
109,0.00,0.0,1.63,1.59,valve_connector
110,0.00,0.0,1.63,1.58,valve_connector
111,0.00,0.0,1.63,1.59,valve_connector
112,0.00,0.0,1.63,1.59,valve_connector
113,0.00,0.0,1.63,1.59,valve_connector
114,0.00,0.0,1.63,1.59,valve_connector
115,0.00,0.0,1.63,1.59,valve_connector
116,0.00,0.0,1.63,1.59,valve_connector
117,0.00,0.0,1.63,1.59,valve_connector
118,0.00,0.0,1.63,1.59,valve_connector
119,0.00,0.0,1.63,1.59,valve_connector
120,0.00,0.0,1.63,1.58,valve_connector
121,0.00,0.0,1.63,1.59,valve_connector
122,0.00,0.0,1.63,1.59,valve_connector
123,0.00,0.0,1.63,1.59,valve_connector
124,0.00,0.0,1.63,1.59,valve_connector
125,0.00,0.0,1.63,1.59,valve_connector
126,0.00,0.0,1.63,1.59,valve_connector
127,0.00,0.0,1.63,1.6,valve_connector
128,0.00,0.0,1.63,1.59,valve_connector
129,0.00,0.0,1.63,1.59,valve_connector
130,0.00,0.0,1.63,1.59,valve_connector
131,0.00,0.0,1.63,1.59,valve_connector
132,0.00,0.0,1.63,1.59,valve_connector
133,0.00,0.0,1.63,1.59,valve_connector
134,0.00,0.0,1.63,1.59,valve_connector
135,0.00,0.0,1.63,1.59,valve_connector
136,0.00,0.0,1.63,1.59,valve_connector
137,0.00,0.0,1.63,1.59,valve_connector
138,0.00,0.0,1.63,1.59,valve_connector
139,0.00,0.0,1.63,1.59,valve_connector
140,0.00,0.0,1.63,1.59,valve_connector
141,0.00,0.0,1.63,1.59,valve_connector
142,0.00,0.0,1.63,1.59,valve_connector
143,0.00,0.0,1.64,1.59,valve_connector
144,0.00,0.0,1.63,1.59,valve_connector
145,0.00,0.0,1.63,1.59,valve_connector
146,0.00,0.0,1.63,1.59,valve_connector
147,0.00,0.0,1.63,1.59,valve_connector
148,0.00,0.0,1.63,1.59,valve_connector
149,0.00,0.0,1.63,1.59,valve_connector
0,0.00,0.0,1.8,1.78,valve_connector
1,0.00,0.0,1.8,1.78,valve_connector
2,0.00,0.0,1.81,1.77,valve_connector
3,0.00,0.0,1.81,1.78,valve_connector
4,0.00,0.0,1.8,1.78,valve_connector
5,0.00,0.0,1.81,1.77,valve_connector
6,0.00,0.0,1.81,1.78,valve_connector
7,0.00,0.0,1.8,1.78,valve_connector
8,0.00,0.0,1.71,1.7,valve_connector
9,0.00,0.0,1.59,1.58,valve_connector
10,0.00,0.0,1.6,1.58,valve_connector
11,0.00,0.0,1.61,1.58,valve_connector
12,0.00,0.0,1.61,1.58,valve_connector
13,0.00,0.0,1.61,1.58,valve_connector
14,0.00,0.0,1.61,1.58,valve_connector
15,0.00,0.0,1.61,1.58,valve_connector
16,0.00,0.0,1.61,1.58,valve_connector
17,0.00,0.0,1.61,1.58,valve_connector
18,0.00,0.0,1.62,1.58,valve_connector
19,0.00,0.0,1.62,1.58,valve_connector
20,0.00,0.0,1.62,1.58,valve_connector
21,0.00,0.0,1.62,1.58,valve_connector
22,0.00,0.0,1.62,1.58,valve_connector
23,0.00,0.0,1.62,1.58,valve_connector
24,0.00,0.0,1.62,1.58,valve_connector
25,0.00,0.0,1.62,1.58,valve_connector
26,0.00,0.0,1.62,1.58,valve_connector
27,0.00,0.0,1.62,1.58,valve_connector
28,0.00,0.0,1.62,1.58,valve_connector
29,0.00,0.0,1.62,1.58,valve_connector
30,0.00,0.0,1.62,1.58,valve_connector
31,0.00,0.0,1.63,1.58,valve_connector
32,0.00,0.0,1.62,1.58,valve_connector
33,0.00,0.0,1.62,1.58,valve_connector
34,0.00,0.0,1.62,1.58,valve_connector
35,0.00,0.0,1.62,1.58,valve_connector
36,0.00,0.0,1.62,1.58,valve_connector
37,0.00,0.0,1.63,1.58,valve_connector
38,0.00,0.0,1.62,1.58,valve_connector
39,0.00,0.0,1.63,1.59,valve_connector
40,0.00,0.0,1.62,1.59,valve_connector
41,0.00,0.0,1.63,1.59,valve_connector
42,0.00,0.0,1.62,1.59,valve_connector
43,0.00,0.0,1.62,1.59,valve_connector
44,0.00,0.0,1.63,1.59,valve_connector
45,0.00,0.0,1.62,1.59,valve_connector
46,0.00,0.0,1.62,1.59,valve_connector
47,0.00,0.0,1.63,1.59,valve_connector
48,0.00,0.0,1.63,1.58,valve_connector
49,0.00,0.0,1.62,1.59,valve_connector
50,0.00,0.0,1.63,1.59,valve_connector
51,0.01,0.0,1.63,1.59,valve_connector
52,0.00,0.0,1.63,1.59,valve_connector
53,0.00,0.0,1.62,1.59,valve_connector
54,0.00,0.0,1.63,1.58,valve_connector
55,0.00,0.0,1.62,1.59,valve_connector
56,0.00,0.0,1.62,1.59,valve_connector
57,0.00,0.0,1.63,1.59,valve_connector
58,0.00,0.0,1.63,1.59,valve_connector
59,0.00,0.0,1.63,1.59,valve_connector
60,0.00,0.0,1.63,1.59,valve_connector
61,0.00,0.0,1.63,1.59,valve_connector
62,0.00,0.0,1.63,1.59,valve_connector
63,0.00,0.0,1.63,1.59,valve_connector
64,0.00,0.0,1.63,1.59,valve_connector
65,0.00,0.0,1.63,1.59,valve_connector
66,0.00,0.0,1.63,1.59,valve_connector
67,0.00,0.0,1.63,1.59,valve_connector
68,0.00,0.0,1.63,1.59,valve_connector
69,0.00,0.0,1.63,1.59,valve_connector
70,0.00,0.0,1.63,1.59,valve_connector
71,0.00,0.0,1.63,1.59,valve_connector
72,0.00,0.0,1.63,1.59,valve_connector
73,0.00,0.0,1.63,1.59,valve_connector
74,0.00,0.0,1.63,1.59,valve_connector
75,0.00,0.0,1.63,1.59,valve_connector
76,0.00,0.0,1.63,1.59,valve_connector
77,0.00,0.01,1.63,1.59,valve_connector
78,0.00,0.0,1.63,1.59,valve_connector
79,0.00,0.0,1.63,1.59,valve_connector
80,0.00,0.0,1.63,1.59,valve_connector
81,0.00,0.0,1.63,1.59,valve_connector
82,0.00,0.0,1.63,1.59,valve_connector
83,0.00,0.0,1.63,1.59,valve_connector
84,0.00,0.0,1.63,1.59,valve_connector
85,0.00,0.0,1.63,1.59,valve_connector
86,0.00,0.0,1.63,1.59,valve_connector
87,0.00,0.0,1.63,1.59,valve_connector
88,0.00,0.0,1.63,1.59,valve_connector
89,0.00,0.0,1.63,1.59,valve_connector
90,0.00,0.0,1.63,1.59,valve_connector
91,0.00,0.0,1.63,1.59,valve_connector
92,0.00,0.0,1.63,1.59,valve_connector
93,0.00,0.0,1.63,1.59,valve_connector
94,0.00,0.0,1.63,1.59,valve_connector
95,0.00,0.0,1.63,1.59,valve_connector
96,0.00,0.0,1.63,1.59,valve_connector
97,0.00,0.0,1.63,1.59,valve_connector
98,0.00,0.0,1.63,1.59,valve_connector
99,0.00,0.0,1.63,1.59,valve_connector
100,0.00,0.0,1.63,1.59,valve_connector
101,0.00,0.0,1.63,1.59,valve_connector
